Temps de résolution Backtracking, Temps de résolution Branch & Bound1 (Orienté arête),Nombre de noeuds explorés Branch & Bound1, Temps de résolution Branch & Bound2 (Orienté sommet),Nombre de noeuds explorés Branch & Bound2, Temps de résolution programmation dynamique, Temps de résolution PLNE 
10
1.917,0.144,21,0.382,109,0.001,
2.925,2.675,309,0.768,199,0,
4.679,31.514,1831,1.945,952,0,
4.172,1.118,173,0.416,190,0,
5.447,23.272,1734,2.407,1279,0,
2.982,14.243,1270,5.117,1916,0,
5.456,9.86,727,1.141,507,0,
2.61,0.749,106,0.343,78,0,
4.167,1.509,230,0.715,370,0,
1.199,1.774,268,1.334,527,0,
2.115,0.018,2,0.121,58,0,
3.58,0.36,33,0.38,90,0,
2.984,1.07,166,0.644,270,0,
4.432,38.346,2074,1.546,697,0,
5.368,0.044,4,0.547,278,0.001,
3.341,181.862,5501,2.483,1263,0,
2.782,1.5,217,0.371,155,0.001,
3.047,3.105,387,1.447,822,0.001,
1.719,0.654,104,0.524,192,0,
3.446,0.951,143,11.025,5314,0,
6.485,0.311,46,1.557,878,0,
2.196,0.25,18,0.415,152,0,
2.442,0.248,40,0.408,172,0,
4.577,18.928,1596,2.711,1611,0.001,
2.879,0.524,76,0.837,218,0,
1.965,0.066,12,0.177,44,0.001,
3.418,10.577,1053,3.737,1710,0,
1.877,0.076,10,0.346,143,0,
3.914,126.169,5439,2.058,1047,0,
2.557,0.195,24,0.682,116,0,
2.682,173.884,6763,6.653,2188,0.001,
3.26,13.161,1197,1.263,515,0,
4.768,515.873,9470,5.875,2528,0,
5.084,1.316,140,0.847,354,0,
2.731,14.848,1320,1.646,755,0,
1.973,8.626,942,2.959,1330,0,
2.425,6.116,738,3.771,1672,0,
2.846,0.389,44,0.424,125,0,
1.807,1.052,175,0.727,303,0,
2.053,9.67,804,3.166,1736,0,
2.656,0.149,22,0.26,109,0,
2.002,0.505,92,0.18,52,0.001,
2.95,37.693,1544,2.114,680,0,
3.649,3.892,491,2.519,1447,0,
1.718,0.773,114,0.96,239,0.001,
2.294,4.02,550,3.532,1567,0,
1.201,0.497,86,0.398,190,0,
3.244,16.448,1121,1.691,642,0,
2.45,0.023,3,0.106,33,0,
4.208,3.217,385,4.764,2105,0,
1.519,0.162,14,1.043,477,0,
1.708,0.055,9,0.261,149,0,
3.443,1.323,144,0.434,111,0.001,
5.164,1086.61,13873,11.012,3772,0,
4.094,0.958,88,1.013,279,0,
1.574,0.016,2,0.122,28,0,
5.53,65.88,2573,1.488,514,0,
2.676,34.105,2400,9.009,4120,0,
3.116,2.876,320,1.121,479,0,
4.776,0.457,74,0.465,197,0,
2.687,8.34,869,1.194,478,0,
3.568,22.47,1366,2.961,1491,0,
2.436,0.044,3,0.117,30,0,
5.592,4.489,534,3.179,1578,0,
2.161,2.669,388,0.708,357,0,
1.752,0.288,46,0.121,32,0,
3.364,3.257,325,1.312,389,0,
2.101,16.491,1438,5.339,2166,0,
3.835,3.712,457,0.775,320,0,
5.485,421.387,9503,6.63,2732,0,
5.077,153.984,4972,4.064,1745,0,
3.668,0.999,156,0.269,101,0,
2.404,2.234,316,1.197,507,0,
3.201,3.256,429,1.614,944,0,
3.012,0.293,41,0.471,172,0,
2.841,8.278,829,0.794,339,0,
2.806,1.013,143,0.475,222,0,
2.509,2.073,286,1.646,618,0,
2.352,0.767,87,1.161,372,0.001,
2.075,0.032,5,0.247,77,0.001,
1.788,1.086,153,0.325,123,0,
1.455,0.435,78,2.927,1721,0,
1.395,2.358,321,1.758,1006,0,
5.09,36.323,1548,2.098,847,0,
1.676,0.065,3,0.254,47,0.001,
2.619,1.974,303,0.816,405,0,
2.036,0.031,3,0.077,15,0,
3.557,0.579,90,1.206,636,0,
2.855,0.732,98,1.723,1069,0,
3.057,7.39,806,2.243,1290,0,
3.705,15.457,1330,2.38,1117,0,
6.922,0.332,26,0.99,91,0,
5.926,6.102,556,1.781,558,0.001,
3.183,0.26,36,0.195,54,0,
4.933,3.621,331,0.518,169,0,
1.846,1.154,177,2.031,1086,0,
2.143,1.56,234,7.352,3766,0,
2.513,8.377,924,4.107,2150,0.001,
1.901,15.951,1468,3.533,1966,0,
3.68,13.171,1193,2.466,994,0,
